word,value
2-page,-1
Academic Resource Index,-1
acceptance,-1
Acceptance Notifiaction,-1
accepts,-1
ACM,1
all areas,-1
any type,-1
any type of article,-1
AQCJ,-1
Article Processing Charge,-1
Article Processing Charges,-1
article with the title,-1
As Soon As Possible,-1
Attach,-1
Await,-1
Await your response,-1
broad fields,-1
calculated,-1
Circulate,-1
Citation,-1
Cite factor,-1
citefactor,-1
Conference,1
cost,-1
CV,-1
Days,-1
Dear Authors,-1
Dear Authors,-1
Dear Prof,-1
Dear Professor,-1
Dear Readers,-1
Dear Readers,-1
Dear Researchers,-1
Dear Sir,-1
Digital Object Identifier,-1
disappoint,-1
discount,-1
Discounted publication fee,-1
doctorial degree,-1
DOI,-1
DRJI,-1
earliest opportunity,-1
Easy paper publishing,-1
easy Publication,-1
E-Certificate,-1
email,-1
email attachment,-1
Eurasian Scientific Journal Index,-1
fast,-1
FAST PUBLICATION,-1
Fastest reviewing,-1
General Impact Factor,-1
Global Impact Factor,-1
gmail,-1
gmail.com,-1
Google Scholar,-1
Hard Copies,-1
Having seen,-1
hearing,-1
hearing from you,-1
Hello,-1
High Indexing proces,-1
High Security,-1
H-index,-1
hours,-1
IEEE,1
Impact Factor Service For International Journals,-1
in process,-1
increased,-1
Index Copernicus,-1
Indian Science,-1
Indian Science Abstracts,-1
introduce,-1
invite,-1
INVITED ARTICLES,-1
ISI,-1
ISI Impact Factor,-1
J- gate,-1
join as,-1
Join Editorial,-1
join us,-1
Journal Fees,-1
Journal Quality Evaluation Report,-1
lack of,-1
Madam,-1
Microsoft Academic,-1
mini reviews,-1
mini-reviews,-1
Mobile,-1
multidisciplinary,-1
My Journals,-1
myself,-1
OBJECTIVES,1
ORGANIZATION COMMITTEE,1
payment,-1
peer review,1
peer-review,1
positive reply,-1
positive response,-1
print,-1
Publication Charges,-1
Publication Fee,-1
rapid,-1
receiving,-1
recently published articles,-1
reply back,-1
request,-1
Researcher,-1
Respected ,-1
respond positively,-1
reviewer,-1
scanned copy,-1
Scientific Indexing Service,-1
Scientific Indexing Services,-1
seeks submission,-1
similarity,-1
Sir,-1
SJIF Journal Impact factor,-1
Special Issue,1
Special Session,1
Special Track,1
special-issue,1
unable,-1
Universal Impact Factor,-1
Upcoming issue,-1
USD,-1
various disciplines,-1
week,-1
Whatsapp,-1
with ISSN,-1
Workshop,1
yahoo.com,-1
your eminent article,-1
your paper,-1
your previous publications,-1
your research,-1
